# tiempo [s],deformacion [mm]
2,0.043
3,0.036
4,0.036
5,0.036
6,0.035
7,0.035
8,0.035
9,0.035
10,0.034
11,0.034
12,0.034
13,0.034
14,0.034
15,0.034
16,0.034
17,0.034
18,0.034
19,0.034
20,0.034
21,0.034
22,0.034
23,0.033
24,0.033
26,0.033
26,0.033
27,0.033
28,0.033
29,0.033
30,0.033
60,0.032
90,0.032
120,0.031
150,0.031
180,0.031
210,0.031
240,0.031
270,0.03
300,0.03
330,0.03
360,0.03
390,0.03
420,0.03
450,0.029
480,0.029
510,0.029
540,0.029
570,0.029
600,0.029
630,0.029
660,0.029
690,0.029
720,0.029
750,0.029
780,0.029
810,0.029
840,0.028
870,0.028
900,0.028
930,0.028
960,0.028
990,0.028
1020,0.028
1050,0.028
1080,0.028
1110,0.028
1140,0.028
1170,0.028
1200,0.028
1230,0.028
1260,0.028
1290,0.028
1320,0.028
1350,0.028
1380,0.028
1410,0.028
1440,0.028
1470,0.028
1500,0.028
1530,0.027
1560,0.027
1590,0.027
1620,0.027
1650,0.027
1680,0.027
1710,0.027
1740,0.027
1770,0.027
1800,0.027
1830,0.027
1860,0.027
1890,0.027
1920,0.027
1950,0.027
1980,0.027
2010,0.027
2040,0.027
2070,0.027
2100,0.027
2130,0.027
2160,0.027
2190,0.027
2220,0.027
2250,0.027
2280,0.027
2310,0.027
2340,0.027
2370,0.027
2400,0.027
2430,0.027
2460,0.027
2490,0.027
2520,0.027
2550,0.027
2580,0.027
2610,0.027
2640,0.027
2670,0.027
2700,0.027
2730,0.027
2760,0.027
2790,0.027
2820,0.026
2850,0.026
2880,0.026
2910,0.026
2940,0.026
2970,0.026
3000,0.026
3030,0.026
3060,0.026
3090,0.026
3120,0.026
3150,0.026
3180,0.026
3210,0.026
3240,0.026
3270,0.026
3300,0.026
3330,0.026
3360,0.026
3390,0.026
3420,0.026
3450,0.026
3480,0.026
3510,0.026
3540,0.026
3570,0.026
3600,0.026
3630,0.026
3660,0.026
3690,0.026
3720,0.026
3750,0.026
3780,0.026
3810,0.026
3840,0.026
3870,0.026
3900,0.026
3930,0.026
3960,0.026
3990,0.026
4020,0.026
4050,0.026
4080,0.026
4110,0.026
4140,0.026
4170,0.026
4200,0.026
4230,0.026
4260,0.026
4290,0.026
4320,0.026
4350,0.026
4380,0.026
4410,0.026
4440,0.026
4470,0.026
4500,0.026
4530,0.026
4560,0.026
4590,0.026
4620,0.026
4650,0.026
4680,0.026
4710,0.026
4740,0.026
4770,0.026
4800,0.026
4830,0.026
4860,0.026
4890,0.026
4920,0.026
4950,0.026
4980,0.026
5010,0.026
5040,0.026
5070,0.026
5100,0.026
5130,0.026
5160,0.026
5190,0.026
5220,0.026
5250,0.026
5280,0.026
5310,0.025
5340,0.025
5370,0.025
5400,0.025
5430,0.025
5460,0.025
5490,0.025
5520,0.025
5550,0.025
5580,0.025
5610,0.025
5640,0.025
5670,0.025
5700,0.025
5730,0.025
5760,0.025
5790,0.025
5820,0.025
5850,0.025
5880,0.025
5910,0.025
5940,0.025
5970,0.025
6000,0.025
6030,0.025
6060,0.025
6090,0.025
6120,0.025
6150,0.025
6180,0.025
6210,0.025
6240,0.025
6270,0.025
6300,0.025
6330,0.025
6360,0.025
6390,0.025
6420,0.025
6450,0.025
6480,0.025
6510,0.025
6540,0.025
6570,0.025
6600,0.025
6630,0.025
6660,0.025
6690,0.025
6720,0.025
6750,0.025
6780,0.025
6810,0.025
6840,0.025
6870,0.025
6900,0.025
6930,0.025
6960,0.025
6990,0.025
7020,0.025
7050,0.025
7080,0.025
7110,0.025
7140,0.025
7170,0.025
7200,0.025
7230,0.025
7260,0.025
7290,0.025
7320,0.025
7350,0.025
7380,0.025
7410,0.025
7440,0.025
7470,0.025
7500,0.025
7530,0.025
7560,0.025
7590,0.025
7620,0.025
7650,0.025
7680,0.025
7710,0.025
7740,0.025
7770,0.025
7800,0.025
7830,0.025
7860,0.025
7890,0.025
7920,0.025
7950,0.025
7980,0.025
8010,0.025
8040,0.025
8070,0.025
8100,0.025
8130,0.025
8160,0.025
8190,0.025
8220,0.025
8250,0.025
8280,0.025
8310,0.025
8340,0.025
8370,0.025
8400,0.025
8430,0.025
8460,0.025
8490,0.025
8520,0.025
8550,0.025
8580,0.025
8610,0.025
8640,0.025
8670,0.025
8700,0.025
8730,0.025
8760,0.025
8790,0.025
8820,0.025
8850,0.025
8880,0.025
8910,0.025
8940,0.025
8970,0.025
9000,0.024
9030,0.024
9060,0.024
9090,0.024
9120,0.024
9150,0.024
9180,0.024
9210,0.024
9240,0.024
9270,0.024
9300,0.024
9330,0.024
9360,0.024
9390,0.024
9420,0.024
9450,0.024
9480,0.024
9510,0.024
9540,0.024
9570,0.024
9600,0.024
9630,0.024
9660,0.024
9690,0.024
9720,0.024
9750,0.024
9780,0.024
9810,0.024
9840,0.024
9870,0.024
9900,0.024
9930,0.024
9960,0.024
9990,0.024
10020,0.024
10050,0.024
10080,0.024
10110,0.024
10140,0.024
10170,0.024
10200,0.024
10230,0.024
10260,0.024
10290,0.024
10320,0.024
10350,0.024
10380,0.024
10410,0.024
10440,0.024
10470,0.024
10500,0.024
10530,0.024
10560,0.024
10590,0.024
10620,0.024
10650,0.024
10680,0.024
10710,0.024
10740,0.024
10770,0.024
10800,0.024
10830,0.024
10860,0.024
10890,0.024
10920,0.024
10950,0.024
10980,0.024
11010,0.024
11040,0.024
11070,0.024
11100,0.024
11130,0.024
11160,0.024
11190,0.024
11220,0.024
11250,0.024
11280,0.024
11310,0.024
11340,0.024
11370,0.024
11400,0.024
11430,0.024
11460,0.024
11490,0.024
11520,0.024
11550,0.024
11580,0.024
11610,0.024
11640,0.024
11670,0.024
11700,0.024
11730,0.024
11760,0.024
11790,0.024
11820,0.024
11850,0.024
11880,0.024
11910,0.024
11940,0.024
11970,0.024
12000,0.024
12030,0.024
12060,0.024
12090,0.024
12120,0.024
12150,0.024
12180,0.024
12210,0.024
12240,0.024
12270,0.024
12300,0.024
12330,0.024
12360,0.024
12390,0.024
12420,0.024
12450,0.024
12480,0.024
12510,0.024
12540,0.024
12570,0.024
12600,0.024
12630,0.024
12660,0.024
12690,0.024
12720,0.024
12726,0.024
